"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Gram stain"
11440,CJ71,"DSM 23904, JCM 15716, KACC 13381",1,"Brevibacillus fluminis",positive
132387,PDF4,"DSM 100115, NCCB 100559",1,"Brevibacillus gelatini",variable
133398,,"ACCC 06527, JCM 30849, LAM 0312",1,"Brevibacillus halotolerans",positive
11437,"Logan B-1657, R-12315","DSM 18918, CIP 108307, KCTC 13000, LMG 22481",1,"Brevibacillus levickii",variable
23172,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1,"Brevibacillus nitrificans",positive
11439,,"DSM 22869, JCM 15085, KCTC 13206, DCY 35",1,"Brevibacillus panacihumi",positive
132383,,"DSM 29928, CPCC 100738, YIM 78300",1,"Brevibacillus sediminis",positive
1868,,"DSM 18261, CCTCC AB 206112, KCTC 19173, YIM 90718",1,"Brevibacterium album",positive
133819,A1,"KEMC41-098, JCM 17537, KACC 15558",1,"Brevibacterium ammoniilyticum",positive
1861,F-77,"DSM 15453, CIP 108809, JCM 13521, KMM 3637",1,"Brevibacterium celere",positive
23808,2C6-41,"DSM 27938, JCM 17458, KCTC 19800",1,"Brevibacterium daeguense",positive
159885,BS05,"KACC 18875, LMG 29562",1,"Brevibacterium hankyongi",positive
130226,SJ5-8,"DSM 29217, JCM 18571, KACC 16911",1,"Brevibacterium jeotgali",positive
1867,HFW-26,"DSM 18964, JBRI 2001, KCTC 19221",1,"Brevibacterium marinum",positive
1866,BBH7,"DSM 21578, IAM 15353, JCM 21798, LMG 23457",1,"Brevibacterium oceani",positive
1860,R-5391,"DSM 16132, CIP 108823, LMG 22061",1,"Brevibacterium picturae",positive
1870,TP12,"DSM 21720, JCM 17808, NCCB 100255",1,"Brevibacterium pityocampae",positive
1869,20,"DSM 21258, CCUG 56047, JCM 19110",1,"Brevibacterium ravenspurgense",positive
1843,5401308,"DSM 23039, CCUG 53855, CIP 109422, CSUR P26",0,"Brevibacterium ravenspurgense",positive
1872,,"DSM 24775, CCTCC AB 208328, JCM 15900, KCTC 19616, TRM 415",1,"Brevibacterium salitolerans",positive
1865,SST-8,"DSM 19451, KCCM 42316, NRRL B-41420, SST-8",1,"Brevibacterium samyangense",positive
1871,01-Je-003,"DSM 22082, CCM 7649, CCUG 57423",1,"Brevibacterium sandarakinum",positive
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472",1,"Brevibacterium sediminis",positive
22937,MB18,"DSM 23676, LMG 25772",1,"Brevibacterium siliguriense",positive
22938,MN-6-a,"DSM 24850, JCM 17779",1,"Brevibacterium yomogidense",positive
133971,DC2c-G4,"NBRC 108608, CIP 110457",1,"Brevifollis gellanilyticus",negative
132620,Ac_11_E3,"DSM 27934, LMG 28618",1,"Brevitalea aridisoli",negative
132621,Ac_16_C4,"DSM 29892, LMG 28995, LMG 29713",1,"Brevitalea deliciosa",negative
133873,TAR-001,"JCM 18150, CECT 8073",1,"Brevundimonas abyssalis",negative
140885,NHI-13,"KEME 9005-016, KACC 18249, JCM 30385",1,"Brevundimonas albigilva",negative
2318,EMB102,"DSM 17977, KCTC 12609",1,"Brevundimonas aveniformis",negative
2321,J22,"DSM 25335, JCM 15911, KCTC 22177",1,"Brevundimonas basaltis",negative
133414,GTAE24,"LMG 29500, CECT 9126",1,"Brevundimonas canariensis",negative
2322,,"DSM 24448, CCUG 58273, LMG 25346, MCS 24",1,"Brevundimonas halotolerans",negative
158618,CA-15,"KEMB 9005-528, KACC 19106, NBRC 112677",1,"Brevundimonas humi",negative
2312,KSL-102,"DSM 17033, CIP 109906",1,"Brevundimonas kwangchunensis",negative
2319,DS-18,"DSM 23960, JCM 14602, KCTC 12871",1,"Brevundimonas lenta",negative
2320,BIO-TAS2-2,"DSM 23858, CCUG 57609, KCTC 22631",1,"Brevundimonas naejangsanensis",negative
2310,W1-2B,"DSM 14572, GTC 1043, JCM 11415",1,"Brevundimonas nasdae",negative
2323,,"DSM 24277, CCUG 57883, LMG 25261, FWC 40",1,"Brevundimonas poindexterae",negative
2324,,"DSM 24451, CCUG 57884, LMG 25262, FWC 43",0,"Brevundimonas staleyi",negative
133564,,"CCUG 1797, ATCC 14736, LMG 2337",1,"Brevundimonas vancanneytii",negative
133756,F3,"CGMCC 1.10683, JCM 17426",1,"Brevundimonas viscosa",negative
23331,Kam1851,"DSM 22653, VKM B-2685",1,"Brockia lithotrophica",positive
12669,BL-34,"DSM 19609, LMG 23248, NRRL B-41418, CCUG 55599",1,"Brooklawnia cerclae",positive
134292,,"BCCN94-74, NCTC 12891",1,"Brucella ceti",negative
133528,BO1,"BCCN 09-01, CPAM 6436",1,"Brucella inopinata",negative
134306,,"BCCN 07-01, CAPM 6434, CCM 4915",1,"Brucella microti",negative
134291,,"BCCN94-73, NCTC 12890",1,"Brucella pinnipedialis",negative
132528,F60,"DSM 101715, BCCN 09-2",1,"Brucella vulpis",negative
140708,N62,"KCTC 42589, MCCC 1H00117",1,"Brumimicrobium aurantiacum",negative
133865,YH207,"KCCM 42331, JCM 14063",1,"Brumimicrobium mesophilum",negative
159793,LHR20,"KCTC 62372T, MCCC 1H00247",1,"Brumimicrobium salinarum",negative
18092,,"DSM 18758, ATCC BAA 1390, MPL 3",1,"Bryobacter aggregatus",negative
141,,"DSM 22489, LMG 25276, SN 10",1,"Bryocella elongata",negative
22996,D9,"DSM 21983, CCM 7845",1,"Budvicia diplopodorum",negative
1983,ES0263A,"DSM 23435, CCUG 54561, LMG 24066",1,"Burkholderia arboris",negative
1989,J2956,"DSM 22706, CCUG 55526, LMG 23361",1,"Burkholderia contaminans",negative
1984,"AU1075, O85","DSM 23434, CCUG 54558, LMG 24065",1,"Burkholderia diffusa",negative
1947,"AU0645, R-5670","DSM 16088, CCUG 47727, LMG 18943",1,"Burkholderia dolosa",negative
1990,383,"DSM 23089, ATCC 17760, CCUG 55525, LMG 22485",1,"Burkholderia lata",negative
1985,,"DSM 23436, CCUG 54555, LMG 24064, FIRENZE 3",1,"Burkholderia latens",negative
1986,AU0553,"DSM 23519, CCUG 54567, LMG 24068",1,"Burkholderia metallica",negative
1974,C6786,"DSM 21774, CCUG 51349, CIP 110344, LMG 23618, NCTC 13387",1,"Burkholderia oklahomensis",negative
139753,,"DSM 103137, HST 245, LMG 29660, Campa 1040",1,"Burkholderia puraquae",negative
1987,AU0475,"DSM 23518, CCUG 54564, LMG 24067",1,"Burkholderia seminalis",negative
141032,B15,"KCTC 52552, MCCC 1K03221",1,"Butyratibacter algicola",negative
158361,BB10,"DSM 104997, ATCC TSD-102",1,"Butyricicoccus porcorum",positive
2871,25-3,"DSM 23266, CCUG 55265, LMG 24109",1,"Butyricicoccus pullicaecorum",positive
133154,,"DSM 105721, 180-3, CCUG 65562, JCM 18676",1,"Butyricimonas faecihominis",positive
12522,MT01,"DSM 23225, CCUG 56610, JCM 15148",1,"Butyricimonas synergistica",negative
12523,MT12,"DSM 23226, CCUG 56611, JCM 15149",1,"Butyricimonas virosa",negative
22942,R27,"DSM 25160, CGMCC 1.11013, LMG 27580",1,"Caballeronia grimmiae",negative
133975,,"CCUG 63059, LMG 22934",1,"Caballeronia humi",negative
159714,RPE64,"NCIMB 15023, JCM 31142",1,"Caballeronia insecticola",negative
133976,,"CCUG 63060, LMG 22936",1,"Caballeronia telluris",negative
133974,,"CCUG 63062, LMG 22937",1,"Caballeronia terrestris",negative
23817,OP-1,"DSM 28073, CCTCC AB 2010354, KCTC 23300",1,"Caballeronia zhejiangensis",negative
132575,B157,"DSM 101100, NBRC 111400",1,"Caenibacillus caldisaponilyticus",positive
133087,CGII-59m2,"DSM 29806, NCAIM B.02615",1,"Caenimicrobium hargitense",negative
3027,EMB320,"DSM 17982, KCTC 12616",1,"Caenimonas koreensis",negative
134240,K92T,"KCTC 12839, JCM 14346",1,"Caenispirillum bisanense",negative
133755,AK4,"MTCC 10963, JCM 17360",1,"Caenispirillum salinarum",negative
134179,HA6,"CGMCC 1.4242, JCM 13486",1,"Caldalkalibacillus thermarum",positive
1498,JW/WZ-YB58,"DSM 17740, ATCC BAA 1258",1,"Caldalkalibacillus uzonensis",positive
16851,JW/YJL-F3,"DSM 17918, ATCC BAA 1278",1,"Caldanaerobius fijiensis",negative
16902,"JW-Sb4, JW/SA-NV4","DSM 18802, ATCC BAA 1454",1,"Caldanaerovirga acetigignens",negative
24651,KKC1,"DSM 26464, NBRC 109353",1,"Calderihabitans maritimus",negative
1324,Tf,"DSM 16016",1,"Caldibacillus debilis",negative
18022,,"DSM 6725, ATCC BAA 1888, KCTC 15123, Z-1320",1,"Caldicellulosiruptor bescii",positive
18028,108,"DSM 18901, VKM B-2411",1,"Caldicellulosiruptor hydrothermalis",positive
18026,I77R1B,"DSM 12137, ATCC 700853",1,"Caldicellulosiruptor kristjanssonii",negative
18029,2002,"DSM 18902, VKM B-2412",1,"Caldicellulosiruptor kronotskyensis",positive
18024,6A,"DSM 9545",1,"Caldicellulosiruptor lactoaceticus",negative
140656,OB47,"ATCC BAA 2073",1,"Caldicellulosiruptor obsidiansis",positive
23443,D2C22,"DSM 24605, JCM 17646",1,"Caldicoprobacter guelmensis",positive
17803,JW/HY-331,"DSM 21659, ATCC BAA 1711",1,"Caldicoprobacter oshimai",positive
16896,DS,"DSM 19393, VKM B-2460",1,"Caldimicrobium rimae",negative
132490,TF1,"DSM 29380, NBRC 110713",1,"Caldimicrobium thiodismutans",negative
17798,AZM16c01,"DSM 21853, NBRC 104410",1,"Caldisericum exile",negative
1562,YMO81,"DSM 45223, ATCC BAA 1462, JCM 14719",1,"Calditerricola satsumensis",negative
1563,YMO722,"DSM 45224, ATCC BAA 1461, JCM 14720",1,"Calditerricola yamamurae",negative
3846,Yu37-1,"DSM 19672, NBRC 101217",1,"Calditerrivibrio nitroreducens",negative
158567,,"KCTC 52714, CGMCC 1.16330, YIM 72346",1,"Caldovatus sediminis",negative
140587,R161,"JCM 31558, KACC 18906, KEMB 9005-404",1,"Calidifontibacter terrae",positive
2523,RC3,"DSM 22476, JCM 15081, KCTC 5601",1,"Caloramator australicus",positive
2525,45B,"DSM 22065, CCUG 57396",1,"Caloramator boliviensis",variable
2524,VF08,"DSM 25793, JCM 15828, KCTC 5735",1,"Caloramator mitchellensis",negative
22962,"USBA A","DSM 22093, CMPUJ U833",1,"Caloramator quimbayensis",positive
18088,SGL43,"DSM 23830, VKM B-2670",1,"Caloribacterium cisternae",positive
140271,KR,"DSM 101605, VKM B-3022",1,"Calorithrix insularis",negative
1675,"B1252, UK34/07-5","DSM 24741, CCM 7941, CCUG 61094, CIP 110303",1,"Camelimonas abortus",negative
1674,"M 2040","DSM 22958, CCM 7696, CCUG 58638",1,"Camelimonas lactis",negative
158813,THG-YT1,"KACC 19471, CGMCC 1.16306",1,"Camelliibacillus cellulosilyticus",positive
10428,TB-2,"DSM 16658, JCM 12641",1,"Caminibacter mediatlanticus",negative
10427,CR,"DSM 15016",1,"Caminibacter profundus",negative
133481,86/06,"LMG 24591, CCUG 56292",1,"Campylobacter avium",negative
2139,L266,"DSM 22948, CCUG 54429, LMG 24001, LMG 54429, KCTC 15211",1,"Campylobacter canadensis",negative
2140,150B,"CIP 110020, DSM 23162, CCUG 56289, LMG 24588",1,"Campylobacter cuniculorum",negative
140238,RC20,"DSM 102159, LMG 29375",1,"Campylobacter geochelonis",negative
133218,,"HV10, NCTC 13823, CIP 111092",1,"Campylobacter hepaticus",negative
2138,CH001A,"DSM 21671, CCUG 45161, CIP 107682, LMG 19568, NCTC 13146",1,"Campylobacter hominis",negative
2137,80-4577-4,"DSM 19053, ATCC 35217, CCUG 14169, CIP 103750, LMG 7817, NCTC 11608, LMG 6445",1,"Campylobacter hyointestinalis",negative
2132,,"DSM 17739, CCUG 48653, CIP 108590, NCTC 12927",1,"Campylobacter insulaenigrae",negative
140602,WBE38,"CECT 9147, LMG 29815, CCUG 69482",1,"Campylobacter ornithocola",negative
140488,,"CCUG 69570, LMG 29472, RM 17260",1,"Campylobacter pinnipediorum",negative
2136,"SU A4","DSM 19458, ATCC 51146, CCUG 30254, JCM 12989",1,"Campylobacter showae",negative
133526,R-3023,"LMG 24377, CCUG 38513",1,"Campylobacter subantarcticus",negative
2141,,"DSM 25354, CCUG 57498, LMG 24380",1,"Campylobacter volucris",negative
390,BZ59,"DSM 22805, CGMCC 1.10190, LMG 26046",1,"Candidimonas bauzanensis",negative
5495,,"DSM 22902, CCUG 51857, NCTC 13375, AHN 8855",1,"Capnocytophaga leadbetteri",negative
17981,,"DSM 23132, VKM B-2609, SLM 61",1,"Carboxydocella manganica",positive
17980,Kar,"DSM 16521, VKM B-2358",1,"Carboxydocella sporoproducens",positive
16808,1315,"DSM 21278, VKM B-2474, VKPM 9905B",1,"Carboxydothermus siderophilus",positive
133257,,"Q15, CICC 23923, KCTC 42707",1,"Carboxylicivirga flava",negative
158815,JR1,"MCCC 1K03323, KCTC 52869",1,"Carboxylicivirga sediminis",negative
158403,CP-1,"DSM 103363, CGMCC 1.15643",1,"Carnobacterium antarcticum",positive
2271,MS3,"DSM 23388, JCM 15539, KCTC 13251",1,"Carnobacterium jeotgali",positive
349,Ho-11,"DSM 22240, KCTC 12197, LMG 23411",1,"Castellaniella caeni",negative
351,MJ06,"DSM 25289, JCM 16240, KCTC 22454",1,"Castellaniella daejeonensis",negative
348,NKNTAU,"CIP 109221, DSM 11046, CCUG 39541",1,"Castellaniella denitrificans",negative
158759,CC-YTH191,"BCRC 81023, JCM 31755",1,"Castellaniella fermenti",negative
350,,"DSM 23970, JCM 15515, KCTC 22398, DCY 36",1,"Castellaniella ginsengisoli",negative
22904,E103,"DSM 25756, CCUG 62394, LMG 26910",1,"Castellaniella hirudinis",negative
7856,2-70(23),"DSM 44899, JCM 12949, NBRC 107357",1,"Catellatospora bangladeshensis",positive
7857,2-25(1),"DSM 44900, JCM 12950, NBRC 107358",1,"Catellatospora chokoriensis",positive
7858,2-29(17),"DSM 44901, JCM 12951, NBRC 107359",1,"Catellatospora coxensis",positive
5252,"SAC M35/04/3","DSM 18331, CCUG 49459, CIP 108575",1,"Catellicoccus marimammalium",positive
139755,CG19-1,"DSM 106146, CCUG 71490, JCM 33534",1,"Catenibacillus scindens",positive
140748,D2,"KCTC 42869, MCCC 1H00129",1,"Catenovulum sediminis",negative
17636,"ID 139908","DSM 44928, NRRL B-24433",1,"Catenulispora acidiphila",positive
141128,SA-246,"KACC 17878, NBRC 110074, DSM 108657",1,"Catenulispora fulva",positive
23350,BR-34,"DSM 45863, KACC 15070, NBRC 107755",1,"Catenulispora graminis",positive
17637,Aac-30,"DSM 44948, JCM 16000, NBRC 101179",1,"Catenulispora rubra",positive
17638,TT99-48,"DSM 45249, KCTC 19328, NBRC 103395",1,"Catenulispora subtropica",positive
17639,"TT N02-20","DSM 45250, KCTC 19327, NBRC 103397",1,"Catenulispora yoronensis",positive
133973,H-E3-2,"KCTC 32211, JCM 18689",1,"Caulobacter daechungensis",negative
140721,THG-AG3.4,"KACC 18849, CCTCC AB 2016077, CCUG 72326",0,"Caulobacter hibisci",negative
140608,7F14,"CGMCC 1.15915, KCTC 52515",1,"Caulobacter rhizosphaerae",negative
132488,,"DSM 101949, CCUG 39713",1,"Caviibacter abscessus",negative
158348,7.3,"DSM 105478, CCUG 16493",1,"Caviibacterium pharyngocola",negative
24724,RQ-33,"DSM 21411, LMG 24596",1,"Cecembia calidifontis",negative
133802,LW9,"CCUG 58316, KCTC 22772",1,"Cecembia lonarensis",negative
23239,L-6,"DSM 27375, CCUG 60799, KCTC 23497",1,"Celeribacter baekdonensis",negative
13861,ZXM137,"DSM 26270, CGMCC 1.8891, LMG 24854",1,"Celeribacter halophilus",negative
13855,"H 14","DSM 26471, CIP 109922, KMM 6012",1,"Celeribacter neptunius",negative
140857,SBU1,"MCCC1A00672, DSM 100434, MCCC 1A00672",1,"Celeribacter persicus",negative
17835,S-G2-2,"DSM 18577, ATCC BAA 1368",1,"Celerinatantimonas diazotrophica",negative
24746,C7,"DSM 21888, VKM B-2511",1,"Celerinatantimonas yamalensis",negative
2373,5420S-23,"DSM 18649, KACC 20692",1,"Cellulomonas aerilata",positive
2369,69B4,"DSM 16987, CIP 108683",1,"Cellulomonas bogoriensis",positive
2375,T26,"DSM 26485, CCTCC AB 2010450, CGMCC 1.10786, KCTC 19824",1,"Cellulomonas carbonis",positive
2372,XBU-b,"DSM 17922, KCTC 19133",1,"Cellulomonas chitinilytica",positive
2371,TR7-06,"DSM 25222, JCM 14898, KCTC 19030, NBRC 100758",1,"Cellulomonas composti",positive
2352,133,"DSM 20113, ATCC 484, NCIB 8980, NCTC 7547, CCUG 24087",1,"Cellulomonas fimi",positive
2354,134,"DSM 20109, ATCC 482, CCM 1926, NCIB 8073, CCUG 28996",1,"Cellulomonas flavigena",positive
140657,,"ATCC 13127",1,"Cellulomonas gilvus",positive
23832,FXJ8.089,"DSM 24960, CGMCC 4.6945, NBRC 110784",1,"Cellulomonas marina",positive
2376,Kc5,"DSM 24482, JCM 17534",1,"Cellulomonas oligotrophica",positive
2377,Kc1,"DSM 24484, JCM 17535",1,"Cellulomonas soli",positive
2370,"DB 5","DSM 17791, KCTC 19081, NBRC 100819",1,"Cellulomonas terrae",positive
2368,XIL11,"DSM 16933, CECT 5729, LMG 21723",1,"Cellulomonas xylanilytica",positive
5500,IC166,"DSM 14237, ACAM 630",1,"Cellulophaga algicola",negative
5501,NN015840,"DSM 24729, ATCC 700862, CIP 106307, LMG 18535, NCIMB 13610",1,"Cellulophaga baltica",negative
133730,M-M6,"KCTC 23498, CCUG 60801",1,"Cellulophaga geojensis",negative
5499,"Cy l20, LIM -21","DSM 7489, ATCC 23178, IAM 14306",1,"Cellulophaga lytica",negative
133654,,"JCM 11735, LMG 21938, KMM 3664",1,"Cellulophaga pacifica",negative
5503,EM41,"DSM 21164, KCTC 22297",1,"Cellulophaga tyrosinoxydans",negative
133658,A6,"TISTR 1915, KCTC 5874",1,"Cellulosibacter alkalithermophilus",positive
133558,H1,"CGMCC 1.5065, JCM 14822",1,"Cellulosilyticum ruminicola",negative
12581,"C8821, W6122","DSM 16025, ATCC BAA 886, CCUG 50705",1,"Cellulosimicrobium funkei",positive
12582,DS-61,"DSM 18665, KCTC 19206",1,"Cellulosimicrobium terreum",positive
140697,MVW-40,"BCRC 80977, LMG 29557, KCTC 52237",1,"Cellvibrio fontiphilus",negative
140658,,"NCDO 2697, NCIMB 10462",1,"Cellvibrio japonicus",negative
140168,CV41,"DSM 100879, ATCC TSD-39, NCIMB 15005",1,"Cephaloticoccus capnophilus",negative
140800,CAG34,"NCIMB 15004, ATCC TSD-38",1,"Cephaloticoccus primus",negative
1325,BLxT,"DSM 15825, IAM 15044",1,"Cerasibacillus quisquiliarum",positive
134262,YM26-026,"MBIC 082805, KCTC 12870",1,"Cerasicoccus arenae",negative
13656,JA139,"DSM 18774, CCUG 53722, JCM 14338",1,"Cereibacter changlensis",negative
133666,311,"CCTCC AB 207142, KACC 15456",1,"Cesiribacter roseus",negative
158533,SM1355,"JCM 30336, CCTCC AB 2014246",1,"Changchengzhania lutea",negative
132550,RB-25,"DSM 28811, LMG 28304",1,"Chania multitudinisentens",negative
133790,Nis3,"JCM 17863, KCTC 23707",1,"Chelativorans composti",positive
11897,,"DSM 9103, VKM B-2394",1,"Chelativorans multitrophicus",negative
133437,LPM-4,"VKM B-2395, DSM 19276",1,"Chelativorans oligotrophicus",negative
133085,PC-2,"DSM 101465, CGMCC 1.15283",1,"Chelatococcus composti",negative
1654,K106,"DSM 22069, CCUG 54519, KCTC 12979",1,"Chelatococcus daeguensis",negative
133219,,"DSM 105737, JCM 30308, B2974, CGMCC 1.12919",1,"Chelatococcus reniformis",negative
1653,HT4,"DSM 18167, JCM 14988",1,"Chelatococcus sambhunathii",negative
11756,1662,"DSM 21392, CCUG 55632",1,"Chelonobacter oris",negative
132989,,"DSM 100641, CCTCC AB 2015175, KCTC 42661, CHL 1",1,"Chenggangzhangella methanolivorans",negative
140684,J15A17,"KCTC 33759, MCCC 1H00137",1,"Chengkuizengella sediminis",positive
24683,,"DSM 24163, BCRC 80273, CC-YHH031",1,"Chiayiivirga flava",negative
10448,TNR-14,"DSM 22217, BCRC 17968, LMG 25206",1,"Chitinibacter alvei",negative
133181,STM-7,"STM-7, BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,"Chitinibacter fontanus",negative
10447,S1,"DSM 15459, BCRC 17254",1,"Chitinibacter tainanensis",negative
10523,c14,"DSM 21506, BCRC 17533, LMG 23346",1,"Chitinilyticum aquatile",negative
10524,c1,"DSM 21440, BCRC 17609",1,"Chitinilyticum litopenaei",negative
1993,R2A43-10,"DSM 17726, KACC 11467",1,"Chitinimonas koreensis",negative
158568,H2,"KCTC 52574, LMG 29894",1,"Chitinimonas lacunae",negative
23450,KL-9,"DSM 27165, BCRC 80168, LMG 25530",1,"Chitinivorax tropicus",negative
159860,13,"CICC 24262, KCTC 62265",1,"Chitinophaga caeni",negative
133826,R156-2,"ACCC 05363, KCTC 23738",1,"Chitinophaga cymbidii",negative
17747,M1-09,"DSM 18108, KCTC 12654",1,"Chitinophaga ginsengisegetis",negative
158622,Ktm-2,"KEMB 9005-693, KACC 19388, JCM 32158",1,"Chitinophaga humicola",negative
17750,JS13-10,"DSM 24787, JCM 15440, KACC 12952",1,"Chitinophaga niabensis",negative
17751,JS16-4,"DSM 24859, JCM 15441, KACC 12954",1,"Chitinophaga niastensis",negative
133769,YC7001,"KACC 14533, JCM 16595",1,"Chitinophaga oryziterrae",negative
159794,LY-1,"CCTCC AB 2018018, KCTC 62444",1,"Chitinophaga parva",negative
17740,,"DSM 2588, ATCC 43595, IFO 15968, NBRC 15968, UQM 2034",1,"Chitinophaga pinensis",negative
140710,T16R-86,"KACC 18790, JCM 31600",1,"Chitinophaga rhizosphaerae",negative
17752,CS5-B1,"DSM 21039, KCTC 22170",1,"Chitinophaga rupis",negative
140711,TFL-3,"ACCC 19966, KCTC 52590",1,"Chitinophaga sedimenti",negative
17749,KP01,"DSM 23920, KCTC 12836, LMG 24015",1,"Chitinophaga terrae",negative
159706,10-7W-9003,"GDMCC 1.1252, KACC 19415, KCTC 52926",1,"Chitinophaga varians",negative
133098,isl-2,"DSM 29225, JCM 30533, VKM B-2978",1,"Chloroflexus islandicus",negative
24747,,"DSM 22607, JCM 16072, YIT 12065",1,"Christensenella minuta",negative
133287,,"IITR-71, MTCC 11059, JCM 30068, KCTC 52433",1,"Chromobacterium alkanivorans",negative
10453,CC-SEYA-1,"DSM 19852, BCRC 17769, CCUG 55175",1,"Chromobacterium aquaticum",negative
10452,,"DSM 19808, CCUG 53230, JCM 14163, MDA 0585",1,"Chromobacterium haemolyticum",negative
10454,,"DSM 23278, CCM 3329, LMG 3947, CCUG 30097",1,"Chromobacterium piscinae",negative
10455,"strain Lewitus","DSM 23279, CCM 2076, LMG 3953, NCTC 8182",0,"Chromobacterium violaceum",negative
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,"Chromobacterium rhizoryzae",negative
10451,PRAA4-1,"DSM 17043, NRRL B-30655, PRAA4-1",1,"Chromobacterium subtsugae",negative
23150,MWU205,"DSM 25150, ATCC BAA 2314",1,"Chromobacterium vaccinii",negative
134283,43,"CECT 7219, CCM 7416",1,"Chromohalobacter japonicus",negative
6001,"4N, LTS-4N","DSM 14323, CECT 5315",1,"Chromohalobacter nigrandesensis",negative
6000,LV4,"DSM 15547, ATCC BAA 761, CCUG 47987, CIP 108589",1,"Chromohalobacter sarecensis",negative
134065,KM,"ATCC BAA 2160, NRRL B-59516, KCTC 23297",1,"Chryseobacterium angstadtii",negative
133494,"NF 1366","CCUG 52764, CIP 109762",1,"Chryseobacterium anthropi",negative
134323,Oct-46,"KCTC 12483, CECT 7302",1,"Chryseobacterium aquaticum",negative
134319,CW9,"KCTC 12894, JCM 14756",1,"Chryseobacterium aquifrigidense",negative
23025,CC-VM-7,"DSM 25208, CCM 7645, CCUG 57618",1,"Chryseobacterium arthrosphaerae",negative
159792,F30,"KCTC 62135, MCCC 1K03457",1,"Chryseobacterium aurantiacum",negative
134062,,"CCUG 60564, CDCG229, NCTC 13530",1,"Chryseobacterium bernardetii",negative
5691,H9,"DSM 19482, LMG 24227",1,"Chryseobacterium bovis",negative
5681,N4,"DSM 17710, CCBAU 10201, CIP 109625, KCTC 12506",1,"Chryseobacterium caeni",negative
24038,9_R23581,"DSM 25581, LMG 26732",1,"Chryseobacterium carnipullorum",negative
5711,"Sa 1147-06","DSM 23145, CCM 7737, CIP 110405, CCUG 58959",1,"Chryseobacterium chaponense",negative
133363,,"KACC 18798, JCM 31422, GSE 06",1,"Chryseobacterium cucumeris",negative
5709,R4-1A,"DSM 23031, CCM 7716, LMG 25442, CCUG 58784",1,"Chryseobacterium culicis",negative
5689,K105,"DSM 19388, JCM 14362, KCTC 12841",1,"Chryseobacterium daeguense",negative
133361,CC-YTH209,"BCRC 80938, JCM 31226",1,"Chryseobacterium endophyticum",negative
132874,"CW-E 2","DSM 18973",1,"Chryseobacterium flavum",negative
24035,PB4,"DSM 26000, LMG 27025",1,"Chryseobacterium frigidisoli",negative
132418,D07,"DSM 100383, CCTCC AB 2011160, KCTC 42897",1,"Chryseobacterium frigidum",negative
5698,5-1St1a,"DSM 18014, CCUG 52549",1,"Chryseobacterium gambrini",negative
133901,,"KCTC 23760, JCM 18019, DCY 63",1,"Chryseobacterium ginsengisoli",negative
158632,,"MTCC 12457, JCM 31156, KACC 19170, IHBB 10212",1,"Chryseobacterium glaciei",negative
5688,"P 461/12","DSM 19109, LMG 24052",1,"Chryseobacterium gregarium",negative
134032,THG-A18,"KACC 16227, LMG 26579",1,"Chryseobacterium gwangjuense",negative
5687,H38,"DSM 19056, LMG 24029",1,"Chryseobacterium haifense",negative
5510,H1,"DSM 19921, LMG 24401",1,"Chryseobacterium halperniae",negative
24039,AG13,"DSM 25574, CCUG 63019",1,"Chryseobacterium hispalense",negative
134193,VP48,"CECT 7129, CCM 7359, JCM 13554",1,"Chryseobacterium hispanicum",negative
5695,P2K6,"DSM 19326, CIP 109575",1,"Chryseobacterium hominis",negative
5696,NF802,"DSM 22165, CCUG 52711, CIP 109415",0,"Chryseobacterium hominis",negative
5705,ECP37,"DSM 21580, LMG 24684, NBRC 104927",1,"Chryseobacterium humi",negative
5694,"CHB-20p, NCAIM B.02269","DSM 19684, NCAIM B2269",1,"Chryseobacterium hungaricum",negative
5702,JS17-8,"DSM 19299, KACC 12501",1,"Chryseobacterium jejuense",negative
23022,,"DSM 25209, CCUG 49689, Chj707, IAM 15050, JCM 21512, KCTC 12107, NBRC 103027",1,"Chryseobacterium koreense",negative
133961,KJ1R5,"KACC 13029, JCM 15904",1,"Chryseobacterium kwangjuense",negative
134063,,"CCUG 60566, A140/68, F68, CDCKC1864, NCTC 11390",1,"Chryseobacterium lactis",negative
133389,XC0022,"KCTC 52364, MCCC 1K02723",1,"Chryseobacterium lineare",negative
5693,"P 456/04","DSM 18605, CIP 109792, LMG 23785",1,"Chryseobacterium luteum",negative
134294,,"KCCM 42689, NBRC 103143, IMCC 3228",1,"Chryseobacterium marinum",negative
5699,DW3,"DSM 18016, CCUG 52547",1,"Chryseobacterium molle",negative
133143,,"WG4, KCTC 52204, CCTCC AB 2016058",1,"Chryseobacterium montanum",negative
134064,,"CCUG 60563, F91, CDCG41, NCTC 13529",1,"Chryseobacterium nakagawai",negative
133365,C-5-3,"KEMB 9005-411, KACC 18907, JCM 31469",1,"Chryseobacterium nepalense",negative
5686,H8,"DSM 19055, CIP 109920, LMG 24030",1,"Chryseobacterium oranimense",negative
