"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Metabolite (antibiotic)","Antibiotic sensitivity","Antibiotic resistance"
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,netilmycin,1,
,,,,,novobiocin,1,
,,,,,penicillin,,1
,,,,,polymyxin,,1
140577,DHOB07,"NBRC 111473, KCTC 52132",1,"Dyella lipolytica",amikacin,1,
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,netilmycin,1,
,,,,,novobiocin,1,
,,,,,penicillin,,1
,,,,,polymyxin,1,
141036,DHON07,"CGMCC 1.15400, NBRC 111475",1,"Dyella mobilis",chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,erythromycin,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,novobiocin,1,
,,,,,"penicillin g",,1
,,,,,polymyxin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,,1
17719,,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350",1,"Echinicola pacifica",ampicillin,,1
,,,,,carbenicillin,,1
,,,,,chloramphenicol,,1
,,,,,doxycycline,,1
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,oleandomycin,,1
140501,JL3085,"NBRC 111782, CGMCC 1.15407",1,"Echinicola rosea",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefazolin,,1
,,,,,cefoperazone,1,
,,,,,cephalexin,1,
,,,,,cephradine,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,clindamycin,1,
,,,,,doxycycline,1,
158741,1-116,"CCTCC AB 2017054, KCTC 52843",1,"Edaphobaculum flavum",ampicillin,,1
,,,,,carbenicillin,,1
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,,1
,,,,,ceftriaxone,,1
,,,,,cefuroxime,,1
,,,,,cephalexin,,1
,,,,,cephradine,,1
,,,,,ciprofloxacin,,1
159732,ZYL,"KCTC 62328, JCM 32378, MCCC 1K03526",1,"Paremcibacter congregatus",ampicillin,1,
,,,,,chloramphenicol,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,ofloxacin,1,
,,,,,penicillin,1,
,,,,,piperacillin,1,
,,,,,streptomycin,1,
140503,HMF3850,"CECT 9087, KCTC 42851",1,"Emticicia paludis",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,"penicillin g",,1
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
,,,,,vancomycin,1,
140757,Acr-14,"BCRC 80922, LMG 29482, KCTC 42901",1,"Endozoicomonas acroporae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
133290,,"YIC 4027, HAMBI 3655, LMG 29286",1,"Ensifer alkalisoli",ampicillin,1,
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,erythromycin,1,
,,,,,kanamycin,,1
,,,,,neomycin,1,
,,,,,streptomycin,1,
132404,"247, 247BMC, EB-247","DSM 29888, NCCB 100573",1,"Enterobacter bugandensis",amoxicillin,,1
,,,,,ampicillin,,1
,,,,,cefalotin,,1
,,,,,cefotaxime,,1
,,,,,cefoxitin,,1
,,,,,cefpodoxime,,1
,,,,,ceftazidime,,1
,,,,,cefuroxime,,1
,,,,,ciprofloxacin,,1
,,,,,"clavulanic acid",,1
133150,,"VE80, JCM 31193, CCUG 68827",1,"Enterococcus saigonensis",teicoplanin,1,
,,,,,vancomycin,,1
158401,ResAG-96,"DSM 105130, JCM 32273",1,"Enteroscipio rubneri",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,colistin,,1
132372,SW014,"DSM 25033, KCTC 42425, MCCC 1K00500, CAIM 1920",1,"Enterovibrio pacificus",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,kanamycin,1,
,,,,,"penicillin g",,1
,,,,,"polymyxin b",,1
,,,,,rifampicin,1,
,,,,,spectinomycin,1,
,,,,,streptomycin,,1
,,,,,tetracycline,,1
140998,JSSK-14,"KCTC 52764, NBRC 112765",1,"Erythrobacter aquimixticola",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,,1
5381,T4,"DSM 8509, IAM 14332",1,"Erythrobacter litoralis",chloramphenicol,1,
,,,,,fusidate,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
,,,,,tetracycline,1,
5387,E5,"DSM 8510, IAM 14333, NCIMB 13404",1,"Erythromicrobium ramosum",amikacin,1,
,,,,,ampicillin,,1
,,,,,bacitracin,1,
,,,,,chloramphenicol,1,
,,,,,chlortetracyclin,1,
,,,,,erythromycin,1,
,,,,,fusidate,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
158624,,"KCCM 43264, JCM 32170, MEBiC 12267",1,"Euzebyella algicola",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,penicillin,,1
,,,,,rifampicin,1,
,,,,,streptomycin,,1
,,,,,tetracycline,,1
17033,Rt17-B1,"DSM 5306, ATCC 35602",1,"Fervidobacterium nodosum",chloramphenicol,1,
,,,,,d-cycloserine,,1
,,,,,neomycin,,1
,,,,,penicillin,1,
,,,,,"sodium azide",,1
,,,,,"sodium azide",1,
,,,,,streptomycin,,1
,,,,,sulfate,1,
,,,,,tetracycline,1,
158767,GDSW-R2A3,"VTCC-B-910015, CCM 8782",1,"Fictibacillus aquaticus",bacitracin,1,
,,,,,novobiocin,1,
,,,,,optochin,,1
,,,,,"polymyxin b",1,
132548,,"DSM 100124, KCTC 33758, MCC 2765, AS 8",1,"Fictibacillus halophilus",amikacin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,oxytetracycline,1,
,,,,,penicillin,,1
,,,,,"polymyxin b",1,
133340,,"SP5, LMG 29572, VKM B-3045",1,"Fimbriiglobus ruber",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,,1
,,,,,streptomycin,,1
159764,ECD12,"KCTC 52351, JCM 32292",1,"Muricauda koreensis",Amikacin,,1
,,,,,ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
140822,MDM-7,"KCTC 42722, CECT 8899",1,"Flavimaricola marinus",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140759,MBLN091,"KCTC 52527, JCM 31731",1,"Flavimarina flava",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,norfloxacin,1,
140553,OITF-51,"KCTC 52657, NBRC 112707",1,"Flaviramulus aestuariivivens",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,0,
,,,,,kanamycin,0,
,,,,,lincomycin,1,
,,,,,neomycin,0,
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140956,EC2D5,"KCTC 52353, JCM 31796",1,"Flavivirga aquimarina",amikacin,,1
,,,,,ampicillin,1,
,,,,,chloramphenicol,,1
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
140955,ECD14,"KCTC 52352, JCM 31797",1,"Flavivirga eckloniae",amikacin,,1
,,,,,ampicillin,1,
,,,,,chloramphenicol,,1
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,penicillin,,1
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
158535,KYPY10,"BCRC 81006, LMG 29727, KCTC 52443",1,"Flavobacterium amniphilum",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
133125,SM1502,"KCTC 42668, CCTCC AB 2015346",1,"Flavobacterium arcticum",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"penicillin g",1,
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
,,,,,tetracycline,1,
,,,,,vancomycin,1,
140760,A2-1,"CCTCC AB 2017157, KCTC 52644",1,"Flavobacterium ardleyense",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,chloramphenicol,1,
,,,,,neomycin,1,
,,,,,nitrofurantoin,1,
,,,,,"polymyxin b",1,
,,,,,rifampicin,1,
158661,SYP-B1015,"CGMCC 1.16115, KCTC 62025",1,"Flavobacterium artemisiae",ampicillin,1,
,,,,,cephalexin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,ofloxacin,1,
,,,,,rifampicin,1,
,,,,,tetracycline,1,
,,,,,vancomycin,,1
159750,,"P3160, LMG 30615, CCM 8826",1,"Flavobacterium chryseum",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,"penicillin g",1,
,,,,,tetracycline,1,
,,,,,vibriostat,1,
141133,4-T-2,"LMG 28257, CCTCC AB 2014004",1,"Flavobacterium collinsense",ampicillin,1,
,,,,,kanamycin,1,
158744,MVW-23,"BCRC 80978, LMG 29558, KCTC 52234",1,"Flavobacterium dispersum",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",,1
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
133309,SA31,"KACC 18743, JCM 31221",1,"Flavobacterium eburneum",ampicillin,1,
,,,,,bacitracin,,1
,,,,,cefotaxime,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,"polymyxin b",,1
159831,PSI-22,"BCRC 80973, LMG 29553, KCTC 52233",1,"Flavobacterium effusum",chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
,,,,,tetracycline,1,
5513,A-34,"DSM 1076, ATCC 27944, IAM 14303",1,"Flavobacterium flevense",chloramphenicol,1,
,,,,,novobiocin,,1
,,,,,"penicillin g",,1
,,,,,"polymyxin b",,1
,,,,,streptomycin,,1
5512,"Cy aq1, N","DSM 2063, ATCC 29551, CCUG 35201, NCIMB 2215, LMG 8385",1,"Flavobacterium hydatis",ampicillin,,1
,,,,,chloramphenicol,1,1
,,,,,erythromycin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
,,,,,novobiocin,,1
,,,,,"penicillin g",,1
,,,,,"polymyxin b",,1
,,,,,tetracycline,,1
158639,WV39,"KCTC 42908, CECT 9085",1,"Flavobacterium kingsejongi",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,kanamycin,,1
,,,,,streptomycin,1,
,,,,,tetracycline,1,
158799,,"KCTC 52571, NBRC 112883, IMCC 25901",1,"Flavobacterium lacicola",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,rifampicin,1,
,,,,,tetracycline,1,
133392,AHQ-46,"BCRC 80889, LMG 28710",1,"Flavobacterium lacunae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,,1
140887,HQQ,"CGMCC 1.15347, KCTC 42935",1,"Flavobacterium lutivivi",amikacin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cefuroxime,1,
,,,,,cephalexin,1,
,,,,,cephradine,1,
140564,R-10-9,"JCM 31673, KACC 18997, KEMB 9005-447",1,"Flavobacterium olei",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,cycloheximide,,1
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,penicillin,1,
,,,,,rifampicin,,1
133311,SP3,"CGMCC 1.12506, NBRC 109717",1,"Flavobacterium orientale",amikacin,1,
,,,,,ampicillin,1,
,,,,,azithromycin,1,
,,,,,cefaclor,1,
,,,,,cefalotin,1,
,,,,,cefazolin,1,
,,,,,cefoperazone,1,
,,,,,cefotaxime,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
159751,,"P3922, LMG 30616, CCM 8827",1,"Flavobacterium psychroterrae",ampicillin,1,1
,,,,,chloramphenicol,1,
,,,,,"penicillin g",,1
,,,,,tetracycline,1,
,,,,,vibriostat,1,
141075,G16-7,"CGMCC 1.15461, KCTC 42947",1,"Flavobacterium suaedae",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cephradine,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,novobiocin,1,
133149,,"CUG 00004, CCTCC AB 2014151, KCTC 42876",1,"Flavobacterium terriphilum",cefazolin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cefuroxime,1,
,,,,,furazolidone,1,
,,,,,oxacillin,1,
,,,,,"penicillin g",1,
,,,,,piperacillin,1,
,,,,,sulfamethoxazole,1,
141070,"GB 56.1","TISTR 1612, KCTC 42679",1,"Flavobacterium tistrianum",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,"nalidixic acid",1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
140502,TTM-46,"BCRC 80914, LMG 29005, KCTC 42745",1,"Flavobacterium verecundum",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,,1
133330,,"MIB-4, BCRC 80926, LMG 29292, KCTC 33763",1,"Flectobacillus fontis",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
133118,MVW-6,"BCRC 80975, LMG 29555, KCTC 33800",1,"Flectobacillus pallidus",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
140492,,"KCTC 39536, CGMCC 1.15085, YIM 7505",1,"Flexivirga endophytica",amikacin,1,
,,,,,"cefuroxime sodium",1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,norfloxacin,,1
,,,,,novobiocin,,1
,,,,,optochin,,1
,,,,,oxacillin,,1
14023,"YIM D812","DSM 21160, CCTCC AA 208037",1,"Fodinicurvata fenggangensis",amikacin,,1
,,,,,ampicillin,,1
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,"nalidixic acid",,1
,,,,,norfloxacin,,1
,,,,,penicillin,1,
,,,,,streptomycin,,1
133320,AHQ-12,"AHQ-12, BCRC 80690, LMG 27847, KCTC 32501, DSM 109231",1,"Formosimonas limnophila",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",,1
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,sulfamethoxazole,1,
141095,DL503,"LMG 29914, CGMCC 1.15944",1,"Franconibacter daqui",ampicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,penicillin,1,
,,,,,rifampicin,1,
131722,"ACN14a, ULQ010201401","DSM 45986, CECT 9034",1,"Frankia alni",biphenyl,,1
,,,,,lincomycin,,1
,,,,,minocycline,,1
,,,,,"nalidixic acid",,1
,,,,,polychlorobiphenyl,,1
,,,,,vancomycin,,1
141096,M16386,"DSM 100626, CECT 9040, NRRL B-16386",1,"Frankia asymbiotica",aztreonam,,1
,,,,,"rifamycin sv",,1
,,,,,troleandomycin,,1
131723,"Ccl3, HFP020203, HFPCcl3","DSM 45818, CECT 9043",1,"Frankia casuarinae",lincomycin,1,
,,,,,minocycline,,1
,,,,,"nalidixic acid",,1
,,,,,polychlorobiphenyl,,1
,,,,,vancomycin,,1
131724,BMG5.12,"DSM 46783, CECT 9031",1,"Frankia elaeagni",lincomycin,,1
,,,,,minocycline,1,
,,,,,"nalidixic acid",1,
,,,,,vancomycin,1,
158372,G2,"DSM 45899, CECT 9038",1,"Frankia irregularis",lincomycin,,1
,,,,,minocycline,,1
,,,,,vancomycin,,1
132580,4Q3S-3,"DSM 100723, CGMCC 4.7307",1,"Microlunatus kandeliicorticis","1 % sodium lactate",,1
,,,,,aztreonam,,1
,,,,,fusidate,1,
,,,,,"guanidinium chloride",,1
,,,,,lincomycin,1,
,,,,,"lithium chloride",,1
,,,,,minocycline,1,
,,,,,"nalidixic acid",,1
,,,,,niaproof,1,
,,,,,"potassium tellurite",,1
528,,"DSM 15513, ATCC BAA 666, KCTC 12091, CCUG 52903, CIP 108376, HTCC 2506",1,"Fulvimarina pelagi",ampicillin,,1
,,,,,carbenicillin,,1
,,,,,chloramphenicol,1,
,,,,,cyclodextrin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,0,
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,"penicillin g",1,
,,,,,puromycin,1,
141065,TM-6,"KCTC 42720, CECT 9024",1,"Fulvivirga lutimaris",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cephalothin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140888,KEM-8,"KCTC 42198, NBRC 110553",1,"Gaetbulibacter aquiaggeris",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
,,,,,oleandomycin,1,
140515,GYP-24,"KCTC 42903, MCCC 1K01730",1,"Gelatiniphilus marinus",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
,,,,,norfloxacin,1,
,,,,,rifampicin,1,
158276,RAM11,"DSM 29853, NCAIM B.02618",1,"Gellertiella hungarica",amoxicillin,1,
,,,,,carbenicillin,1,
,,,,,cefamandole,,1
,,,,,cefoxitin,1,
,,,,,cefuroxime,1,
,,,,,ciprofloxacin,1,
,,,,,"clavulanic acid",1,
,,,,,clindamycin,,1
,,,,,erythromycin,1,
,,,,,gentamicin,1,
141098,CAM-8,"KACC 19224, JCM 31905",1,"Gemmobacter straminiformis",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,doxycycline,1,
,,,,,erythromycin,1,
,,,,,kanamycin,1,
,,,,,novobiocin,1,
,,,,,"polymyxin b",,1
,,,,,rifampicin,1,
,,,,,streptomycin,1,
,,,,,tetracycline,1,
1439,3S-1,"DSM 13174, CIP 106305",1,"Geobacillus vulcani","polymyxin b",,1
141033,HF401,"KCTC 42595, MCCC 1H00119",1,"Geofilum rhodophaeum",cefotaxime,1,
,,,,,ceftriaxone,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,1,
,,,,,ofloxacin,,1
1773,,"DSM 17458, CCTCC AB 204065, KCTC 19029, NBRC 103883, YIM 004",1,"Georgenia ruanii",chloramphenicol,,1
,,,,,chlortetracyclin,,1
,,,,,gentamicin,,1
,,,,,novobiocin,,1
,,,,,oleandomycin,,1
,,,,,streptomycin,,1
,,,,,tetracycline,,1
133296,12-2,"DSM 102813, KCTC 52141, NBRC 111987",1,"Gilvimarinus japonicus",amikacin,,1
,,,,,amoxicillin,1,
,,,,,ampicillin,1,
,,,,,carbenicillin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
234,,"DSM 15739, CCUG 44365, CIP 107175, LMG 18844, GEM 604",1,"Globicatella sulfidifaciens",clindamycin,0,
,,,,,erythromycin,0,
,,,,,lincomycin,0,
,,,,,neomycin,0,
133243,,"XHU 5089, CCTCC AA 2015034, KCTC 39688",1,"Glycomyces lacisalsi",amikacin,0,
,,,,,ampicillin,0,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,0,
,,,,,clindamycin,0,
,,,,,erythromycin,1,
,,,,,gentamicin,0,
,,,,,kanamycin,0,
,,,,,"nalidixic acid",0,
,,,,,neomycin,0,
133133,,"HKU50, CCOS 955, CIP 111027, NBRC 111234, NCCP 16210",1,"Gordonia hongkongensis",ceftriaxone,1,
,,,,,ciprofloxacin,1,
,,,,,imipenem,1,
,,,,,levofloxacin,1,
,,,,,linezolid,1,
,,,,,vancomycin,1,
1469,"BH 097","DSM 19028, KCTC 13130",1,"Gracilibacillus bigeumensis",amikacin,,1
,,,,,amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,chloramphenicol,1,
,,,,,cycloheximide,,1
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
1461,,"DSM 17256, ATCC BAA 1190, CIP 109592, IAM 15263, T-16x",1,"Gracilibacillus boraciitolerans",amoxicillin,,1
,,,,,metronidazole,,1
,,,,,penicillin,,1
1459,DD1,"DSM 11125, NCFB 3027",1,"Gracilibacillus dipsosauri",ampicillin,,1
,,,,,chloramphenicol,1,
1463,YIM-C55.5,"DSM 17856, CGMCC 1.6303",1,"Gracilibacillus halophilus",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,"nalidixic acid",,1
,,,,,novobiocin,1,
,,,,,"polymyxin b",,1
,,,,,rifampicin,1,
,,,,,streptomycin,,1
1460,NN,"DSM 11805",1,"Gracilibacillus halotolerans",ampicillin,,1
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",,1
,,,,,neomycin,,1
,,,,,novobiocin,1,
1468,K170,"DSM 23178, CGMCC 1.10681",1,"Gracilibacillus kekensis",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,neomycin,1,
,,,,,streptomycin,,1
,,,,,tetracycline,1,
1465,,"DSM 19802, CCTCC AA 208015, YIM 91119",1,"Gracilibacillus saliphilus",amikacin,,1
,,,,,amoxicillin,1,
,,,,,ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,,1
,,,,,co-trimoxazole,1,
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,lincomycin,1,
,,,,,neomycin,1,
1466,TP2-8,"DSM 23862, JCM 15569, PCU 304, TISTR 1881",1,"Gracilibacillus thailandensis",ampicillin,1,
,,,,,bacitracin,,1
,,,,,chloramphenicol,,1
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,rifampicin,1,
1467,MF38,"DSM 23863, CGMCC 1.7727, JCM 15711",1,"Gracilibacillus ureilyticus",amoxicillin,1,
,,,,,ampicillin,1,
,,,,,bacitracin,1,
,,,,,carbenicillin,1,
,,,,,cefotaxime,1,
,,,,,cefoxitin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,kanamycin,1,
,,,,,neomycin,1,
24046,KT0803,"DSM 17595, CGMCC 1.15422",1,"Gramella forsetii",ampicillin,1,
,,,,,erythromycin,,1
,,,,,rifampicin,1,
,,,,,streptomycin,,1
,,,,,tetracycline,,1
,,,,,vancomycin,,1
159710,LPB0144,"KACC 18894, JCM 31560",1,"Gramella salexigens",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,kanamycin,,1
,,,,,streptomycin,,1
141066,GHTF-27,"KCTC 52208, NBRC 111992",1,"Gramella sediminilitoris",ampicillin,,1
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
