"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,Enzyme,"Enzyme activity"
1636,,"DSM 21463, CCUG 44360, CIP 106294, IBS 325",1,"Bartonella birtlesii",urease,-
1637,91-4,"DSM 21464, CCUG 43828, CIP 106692",1,"Bartonella bovis",urease,-
1638,,"DSM 21569, CCUG 43827, CIP 106691, IBS 193",1,"Bartonella capreoli",urease,-
1643,"Fuji 18-1","DSM 23650, CIP 109861, JCM 15567",1,"Bartonella japonica",urease,-
1644,"Fuji 23-1","DSM 23649, CIP 109862, JCM 15566",1,"Bartonella silvatica",urease,-
1672,"BF-2819, Hilger","DSM 19635, CECT 7311, LMG 2819",1,"Beijerinckia doebereinerae",urease,-
140946,5C,"VKM B-2724, KCTC 32194",1,"Belliella buryatensis",urease,-
38,CP2C,"DSM 16746, ATCC BAA 1043, CIP 109215",1,"Belnapia moabensis",urease,+
23491,PB-K8,"DSM 28067, JCM 18033, KCTC 23765",1,"Belnapia soli",urease,+
12011,DSE10,"DSM 22132, JCM 14375, LMG 24411",1,"Bhargavaea cecembensis",urease,+
23197,,"DSM 26128, CCM 8429, LMG 27071, ZMA 19",1,"Bhargavaea ullalensis",urease,+
140310,RP115,"DSM 100238, CCM 8605, LMG 28779",1,"Bifidobacterium apri",urease,-
158380,,"DSM 103152, JCM 31790, TRI 5",1,"Bifidobacterium callitrichidarum",urease,-
158387,"MRM 8.19","DSM 103154",1,"Bifidobacterium catulorum",urease,-
132454,LMM_E3,"DSM 100216, JCM 30801",1,"Bifidobacterium eulemuris",urease,-
132346,"MRM 8.14, MRM_8.14","DSM 100202, JCM 30799",1,"Bifidobacterium hapali",urease,+
132345,"MRM 5.9, MRM_5.9","DSM 100196, JCM 30796",1,"Bifidobacterium myosotis",urease,+
132348,"MRM 5.18, MRM_5.18","DSM 100201, JCM 30798",1,"Bifidobacterium tissieri",urease,+
1740,"OMB 115","DSM 17777, JCM 13495",1,"Bifidobacterium tsurumiense",urease,-
134133,APA1-,"ACAM 1056, CIP 108533",1,"Bizionia algoritergicola",urease,+
134125,ADA-4,"ACAM 1058, CIP 108535",1,"Bizionia myxarmorum",urease,+
140551,P131,"MCCC 1H00124, KCTC 42587",1,"Bizionia sediminis",urease,-
140974,T2,"KCTC 42354, JCM 30467",1,"Blastomonas fulva",urease,-
158642,KB1,"KCTC 15618, JCM 32276",1,"Blautia hominis",urease,-
377,"Hinz 591-77","DSM 11332, ATCC 35086, CCUG 13726, LMG 1852",1,"Bordetella avium",urease,-
374,18323,"DSM 5571, ATCC 9797, CCUG 30873, CCUG 17764, NCTC 10739, LMG 14455, CIP 63.1",1,"Bordetella pertussis",urease,-
382,Se-1111R,"DSM 12804, CCUG 43448, CIP 107267, ATCC BAA 461, CCM 7166",1,"Bordetella petrii",urease,-
133298,8-296-03,"DSM 106160, NCTC 13808, NRRL B-59942, 8-296-03",0,"Bordetella pseudohinzii",urease,-
379,"1779, 22-93","DSM 11334, CCUG 32381, LMG 13506",1,"Bordetella trematum",urease,-
1788,34614,"DSM 21596, CCUG 43111, CIP 106338",1,"Bosea eneae",urease,+
1791,R-46060,"DSM 26656, CCUG 61247, LMG 26379",1,"Bosea lathyri",urease,+
1792,R-45681,"DSM 26673, CCUG 61248, LMG 26383",1,"Bosea lupini",urease,+
1789,63287,"DSM 21079, CCUG 43117, CIP 106336",1,"Bosea massiliensis",urease,+
1787,,"CCUG 55772, DSM 13099, ATCC 700918, CIP 106457, AMX 51",1,"Bosea minatitlanensis",urease,+
1793,R-46070,"DSM 26672, CCUG 61249, LMG 26381",1,"Bosea robiniae",urease,-
1790,34635,"DSM 21229, CCUG 43114, CIP 106340, CCUG 43114 T",1,"Bosea vestrisii",urease,+
174,M1749/98/1,"DSM 15383, CCUG 41710, CIP 106509",1,"Boudabousia marimammalium",urease,-
188,,"DSM 19116, CCUG 46092, CIP 107668",1,"Bowdeniella nasicola",urease,-
132661,KWS-1,"DSM 28796, JCM 30059, MTCC 11836",1,"Brachybacterium aquaticum",urease,-
3916,JB,"DSM 18832, CGMCC 1.6508, LMG 23926",1,"Brachybacterium zhongshanense",urease,+
343,"RKI 99-01984","DSM 13743, LMG 19451, NCIMB 13739, CCUG 47103",1,"Brackiella oedipodis",urease,-
1813,"P17Hg1, PL7HG1","DSM 17288, CECT 5829, LMG 21987, NBRC 103048, CCUG 55850",1,"Bradyrhizobium betae",urease,+
1817,CTAW11,"DSM 23720, CECT 7749, LMG 25866",1,"Bradyrhizobium cytisi",urease,-
1816,PAC68,"DSM 19632, CECT 7395, LMG 24556",1,"Bradyrhizobium jicamae",urease,+/-
140478,,"LMG 30031, U675, BR 6010, CNPSo 1165, SEMIA 6399",1,"Bradyrhizobium mercantei",urease,+
1784,S58,"DSM 12412, ATCC 43045, JCM 1494, LMG 10732, NCIMB 12151, CCUG 57401",1,"Bradyrhizobium oligotrophicum",urease,+
1815,PAC48,"DSM 19631, CECT 7396, LMG 24246",1,"Bradyrhizobium pachyrhizi",urease,+/-
140809,,"CNPSo 2823, HAMBI 3668, H-8, BR 446",1,"Bradyrhizobium stylosanthis",urease,+
140740,D8-10-2-5,"CFCC 11935, KCTC 42841",1,"Brenneria populi subsp. brevivirga",urease,-
140739,D9-5,"CFCC 11963, KCTC 42088",1,"Brenneria populi",urease,-
132387,PDF4,"DSM 100115, NCCB 100559",1,"Brevibacillus gelatini",urease,-
133398,,"ACCC 06527, JCM 30849, LAM 0312",1,"Brevibacillus halotolerans",urease,-
23172,DA2,"DSM 26674, JCM 15774, NCIMB 14531",1,"Brevibacillus nitrificans",urease,+
132383,,"DSM 29928, CPCC 100738, YIM 78300",1,"Brevibacillus sediminis",urease,+
159885,BS05,"KACC 18875, LMG 29562",1,"Brevibacterium hankyongi",urease,-
1867,HFW-26,"DSM 18964, JBRI 2001, KCTC 19221",1,"Brevibacterium marinum",urease,+
1860,R-5391,"DSM 16132, CIP 108823, LMG 22061",1,"Brevibacterium picturae",urease,+
1869,20,"DSM 21258, CCUG 56047, JCM 19110",1,"Brevibacterium ravenspurgense",urease,-
133018,FXJ8.269,"DSM 102229, CGMCC 1.15472",1,"Brevibacterium sediminis",urease,-
22937,MB18,"DSM 23676, LMG 25772",1,"Brevibacterium siliguriense",urease,+
2318,EMB102,"DSM 17977, KCTC 12609",1,"Brevundimonas aveniformis",urease,+
133414,GTAE24,"LMG 29500, CECT 9126",1,"Brevundimonas canariensis",urease,-
2319,DS-18,"DSM 23960, JCM 14602, KCTC 12871",1,"Brevundimonas lenta",urease,+
134292,,"BCCN94-74, NCTC 12891",1,"Brucella ceti",urease,+
133528,BO1,"BCCN 09-01, CPAM 6436",1,"Brucella inopinata",urease,+
134306,,"BCCN 07-01, CAPM 6434, CCM 4915",1,"Brucella microti",urease,+
134291,,"BCCN94-73, NCTC 12890",1,"Brucella pinnipedialis",urease,+
132528,F60,"DSM 101715, BCCN 09-2",1,"Brucella vulpis",urease,+
140708,N62,"KCTC 42589, MCCC 1H00117",1,"Brumimicrobium aurantiacum",urease,-
1983,ES0263A,"DSM 23435, CCUG 54561, LMG 24066",1,"Burkholderia arboris",urease,+
1989,J2956,"DSM 22706, CCUG 55526, LMG 23361",1,"Burkholderia contaminans",urease,-
1985,,"DSM 23436, CCUG 54555, LMG 24064, FIRENZE 3",1,"Burkholderia latens",urease,-
1986,AU0553,"DSM 23519, CCUG 54567, LMG 24068",1,"Burkholderia metallica",urease,-
1974,C6786,"DSM 21774, CCUG 51349, CIP 110344, LMG 23618, NCTC 13387",1,"Burkholderia oklahomensis",urease,-
139753,,"DSM 103137, HST 245, LMG 29660, Campa 1040",1,"Burkholderia puraquae",urease,-
1987,AU0475,"DSM 23518, CCUG 54564, LMG 24067",1,"Burkholderia seminalis",urease,-
141032,B15,"KCTC 52552, MCCC 1K03221",1,"Butyratibacter algicola",urease,+
158361,BB10,"DSM 104997, ATCC TSD-102",1,"Butyricicoccus porcorum",urease,+
133154,,"DSM 105721, 180-3, CCUG 65562, JCM 18676",1,"Butyricimonas faecihominis",urease,-
22942,R27,"DSM 25160, CGMCC 1.11013, LMG 27580",1,"Caballeronia grimmiae",urease,+
159714,RPE64,"NCIMB 15023, JCM 31142",1,"Caballeronia insecticola",urease,-
23817,OP-1,"DSM 28073, CCTCC AB 2010354, KCTC 23300",1,"Caballeronia zhejiangensis",urease,+
133087,CGII-59m2,"DSM 29806, NCAIM B.02615",1,"Caenimicrobium hargitense",urease,-
3027,EMB320,"DSM 17982, KCTC 12616",1,"Caenimonas koreensis",urease,+
133755,AK4,"MTCC 10963, JCM 17360",1,"Caenispirillum salinarum",urease,+
158813,THG-YT1,"KACC 19471, CGMCC 1.16306",1,"Camelliibacillus cellulosilyticus",urease,+
2139,L266,"DSM 22948, CCUG 54429, LMG 24001, LMG 54429, KCTC 15211",1,"Campylobacter canadensis",urease,+
140238,RC20,"DSM 102159, LMG 29375",1,"Campylobacter geochelonis",urease,-
133218,,"HV10, NCTC 13823, CIP 111092",1,"Campylobacter hepaticus",urease,-
2138,CH001A,"DSM 21671, CCUG 45161, CIP 107682, LMG 19568, NCTC 13146",1,"Campylobacter hominis",urease,-
140602,WBE38,"CECT 9147, LMG 29815, CCUG 69482",1,"Campylobacter ornithocola",urease,+
2136,"SU A4","DSM 19458, ATCC 51146, CCUG 30254, JCM 12989",1,"Campylobacter showae",urease,-
390,BZ59,"DSM 22805, CGMCC 1.10190, LMG 26046",1,"Candidimonas bauzanensis",urease,+
158815,JR1,"MCCC 1K03323, KCTC 52869",1,"Carboxylicivirga sediminis",urease,-
158403,CP-1,"DSM 103363, CGMCC 1.15643",1,"Carnobacterium antarcticum",urease,-
349,Ho-11,"DSM 22240, KCTC 12197, LMG 23411",1,"Castellaniella caeni",urease,-
350,,"DSM 23970, JCM 15515, KCTC 22398, DCY 36",1,"Castellaniella ginsengisoli",urease,-
139755,CG19-1,"DSM 106146, CCUG 71490, JCM 33534",1,"Catenibacillus scindens",urease,-
140721,THG-AG3.4,"KACC 18849, CCTCC AB 2016077, CCUG 72326",0,"Caulobacter hibisci",urease,-
140608,7F14,"CGMCC 1.15915, KCTC 52515",1,"Caulobacter rhizosphaerae",urease,-
158348,7.3,"DSM 105478, CCUG 16493",1,"Caviibacterium pharyngocola",urease,-
23239,L-6,"DSM 27375, CCUG 60799, KCTC 23497",1,"Celeribacter baekdonensis",urease,+
13861,ZXM137,"DSM 26270, CGMCC 1.8891, LMG 24854",1,"Celeribacter halophilus",urease,+
13855,"H 14","DSM 26471, CIP 109922, KMM 6012",1,"Celeribacter neptunius",urease,+
140857,SBU1,"MCCC1A00672, DSM 100434, MCCC 1A00672",1,"Celeribacter persicus",urease,+
2373,5420S-23,"DSM 18649, KACC 20692",1,"Cellulomonas aerilata",urease,+
5499,"Cy l20, LIM -21","DSM 7489, ATCC 23178, IAM 14306",1,"Cellulophaga lytica",urease,-
12582,DS-61,"DSM 18665, KCTC 19206",1,"Cellulosimicrobium terreum",urease,+
140697,MVW-40,"BCRC 80977, LMG 29557, KCTC 52237",1,"Cellvibrio fontiphilus",urease,-
140658,,"NCDO 2697, NCIMB 10462",1,"Cellvibrio japonicus",urease,-
140168,CV41,"DSM 100879, ATCC TSD-39, NCIMB 15005",1,"Cephaloticoccus capnophilus",urease,+
140800,CAG34,"NCIMB 15004, ATCC TSD-38",1,"Cephaloticoccus primus",urease,-
158533,SM1355,"JCM 30336, CCTCC AB 2014246",1,"Changchengzhania lutea",urease,-
132550,RB-25,"DSM 28811, LMG 28304",1,"Chania multitudinisentens",urease,-
1652,TE2,"DSM 6462, ATCC 51531",1,"Chelatococcus asaccharovorans",urease,+
1654,K106,"DSM 22069, CCUG 54519, KCTC 12979",1,"Chelatococcus daeguensis",urease,-
133219,,"DSM 105737, JCM 30308, B2974, CGMCC 1.12919",1,"Chelatococcus reniformis",urease,+
1653,HT4,"DSM 18167, JCM 14988",1,"Chelatococcus sambhunathii",urease,+
132989,,"DSM 100641, CCTCC AB 2015175, KCTC 42661, CHL 1",1,"Chenggangzhangella methanolivorans",urease,-
133181,STM-7,"STM-7, BCRC 80923, LMG 29289, KCTC 42982, DSM 107335",1,"Chitinibacter fontanus",urease,-
1993,R2A43-10,"DSM 17726, KACC 11467",1,"Chitinimonas koreensis",urease,-
17747,M1-09,"DSM 18108, KCTC 12654",1,"Chitinophaga ginsengisegetis",urease,+
17751,JS16-4,"DSM 24859, JCM 15441, KACC 12954",1,"Chitinophaga niastensis",urease,+
159794,LY-1,"CCTCC AB 2018018, KCTC 62444",1,"Chitinophaga parva",urease,-
17740,,"DSM 2588, ATCC 43595, IFO 15968, NBRC 15968, UQM 2034",1,"Chitinophaga pinensis",urease,+
140711,TFL-3,"ACCC 19966, KCTC 52590",1,"Chitinophaga sedimenti",urease,-
133287,,"IITR-71, MTCC 11059, JCM 30068, KCTC 52433",1,"Chromobacterium alkanivorans",urease,+
133161,,"LAM 1188, ACCC 19900, JCM 31180",1,"Chromobacterium rhizoryzae",urease,-
6001,"4N, LTS-4N","DSM 14323, CECT 5315",1,"Chromohalobacter nigrandesensis",urease,+
23025,CC-VM-7,"DSM 25208, CCM 7645, CCUG 57618",1,"Chryseobacterium arthrosphaerae",urease,+
159792,F30,"KCTC 62135, MCCC 1K03457",1,"Chryseobacterium aurantiacum",urease,+
5681,N4,"DSM 17710, CCBAU 10201, CIP 109625, KCTC 12506",1,"Chryseobacterium caeni",urease,+
5711,"Sa 1147-06","DSM 23145, CCM 7737, CIP 110405, CCUG 58959",1,"Chryseobacterium chaponense",urease,+
133363,,"KACC 18798, JCM 31422, GSE 06",1,"Chryseobacterium cucumeris",urease,+
5709,R4-1A,"DSM 23031, CCM 7716, LMG 25442, CCUG 58784",1,"Chryseobacterium culicis",urease,+
132418,D07,"DSM 100383, CCTCC AB 2011160, KCTC 42897",1,"Chryseobacterium frigidum",urease,-
133901,,"KCTC 23760, JCM 18019, DCY 63",1,"Chryseobacterium ginsengisoli",urease,+
158632,,"MTCC 12457, JCM 31156, KACC 19170, IHBB 10212",1,"Chryseobacterium glaciei",urease,+
134032,THG-A18,"KACC 16227, LMG 26579",1,"Chryseobacterium gwangjuense",urease,+
133143,,"WG4, KCTC 52204, CCTCC AB 2016058",1,"Chryseobacterium montanum",urease,-
23024,,"CCUG 51923, CIP 109277, DSM 25207, CCUG 5192, LMG 23089",0,"Chryseobacterium piscium",urease,+
140591,Ra1,"AB 2015431, KCTC 52230",1,"Chryseobacterium reticulitermitis",urease,+
5707,1YB-R12,"DSM 22468, CCUG 55604, DSM 1183",1,"Chryseobacterium solincola",urease,+
133828,THMBM1,"CGMCC 1.10941, NBRC 108747",1,"Chryseobacterium taihuense",urease,+
5701,F-Fue-04IIIaaaa,"DSM 18017, CCUG 52546, CIP 110146",1,"Chryseobacterium ureilyticum",urease,+
133773,687B-08,"CECT 7793, CCUG 60103",1,"Chryseobacterium viscerum",urease,+
23023,,"DSM 25206, CCUG 50970, LMG 22846, CIP 108934",1,"Chryseobacterium vrystaatense",urease,+
141028,THG-T1.18,"KACC 18929, CCTCC AB 2016179",1,"Chryseomicrobium deserti",urease,+
159857,ET03,"KCTC 33943, LMG 30119, JCM 32415",1,"Chryseomicrobium excrementi",urease,-
140621,PU1,"NBRC 106750, KCTC 13722, JCM 16712, CCUG 59101",1,"Chryseomicrobium palamuruense",urease,+
133409,ED7,"JCM 30603, KCTC 42450",1,"Chthonobacter albigriseus",urease,+
158347,A.slu09,"DSM 104151, KACC 19080, LMG 29962",1,"Ciceribacter azotifigens",urease,+
24486,MSSRFBL1,"DSM 25528, KCTC 32403",1,"Ciceribacter lividus",urease,+
133060,97/79,"DSM 103031, CIP 106467",1,"Citrobacter europaeus",urease,-
140426,A60,"DSM 104542, CECT 9236",1,"Citrobacter portucalensis",urease,+
133580,R2A-16,"CGMCC 1.7656, NBRC 104931",1,"Cloacibacterium rupense",urease,+
159644,YB-7,"DSM 110900, CICC 24109, KCTC 15555",1,"Clostridium beihaiense",urease,+
2817,P7,"DSM 15243, ATCC BAA 624, KCTC 15178",1,"Clostridium carboxidivorans",urease,-
159814,YH-tan31,"KCTC 15630, JCM 32793",1,"Clostridium composti",urease,-
159785,"LCDC 99A005","ATCC BAA 265, CCUG 46077, St. Boniface Hospital 30686",1,"Clostridium neonatale",urease,-
158307,MJC39,"DSM 103944, JCM 31506",1,"Clostridium pabulibutyricum",urease,-
2841,ISDg,"DSM 18823, ATCC 700394",1,"Clostridium phytofermentans",urease,+/-
140317,"NRRL B-65463","DSM 104389, NRRL B-65463, IEH 97212",1,"Clostridium tepidum",urease,-
132376,XA,"DSM 29843, CGMCC 1.15041",1,"Cnuibacter physcomitrellae",urease,-
134000,JC131,"KCTC 32038, NBRC 109022",1,"Cohaesibacter haloalkalitolerans",urease,+
133627,,"CGMCC 1.9157, NCCB 100300, DQHS 21",1,"Cohaesibacter marisflavi",urease,+
158415,20.16T,"DSM 104983, VKM B-2846",1,"Cohnella kolymensis",urease,-
133071,KSS-154-50,"DSM 103658, CCM 8707, LMG 29763",1,"Cohnella lubricantis",urease,-
158408,C3-17,"DSM 104040, KACC 19055",1,"Collimonas antrihumi",urease,-
2879,BCw111,"DSM 22576, CGMCC 1.9127, LMG 25329",1,"Colwellia chukchiensis",urease,+
158694,A3,"LMG 30125, NCIMB 15095",1,"Colwellia echini",urease,+
2928,,"DSM 9155, ATCC 11330, CCUG 17395, LMG 2370",1,"Comamonas aquatica",urease,-
158653,SB30-Chr27-3,"CIP 111491, CCM 8815, DSM 106034",1,"Comamonas aquatilis",urease,-
2937,YY287,"DSM 21721, BCRC 17659, LMG 24008",1,"Comamonas composti",urease,-
2930,AFG1,"CIP 107987, DSM 16026, CCUG 15333, LMG 3475",1,"Comamonas kerstersii",urease,-
2936,"Dant 3-8","DSM 22023, BCRC 17576, LMG 23579",1,"Comamonas odontotermitis",urease,-
132361,WYH22-41,"DSM 26017, CGMCC 1.12294",1,"Comamonas phosphati",urease,+
2927,,"DSM 7099, ATCC 8461, CCUG 15327, CIP 63.44, LMG 5929, NCIB 8193, NCTC 1937, NRRL B-1055",1,"Comamonas terrigena",urease,-
2938,BF-3,"DSM 22523, CCTCC AB 209170",1,"Comamonas zonglianii",urease,+
140616,BS27,"KACC 18745, JCM 17664",1,"Compostibacter hankyongensis",urease,-
140749,XJNY,"KCTC 52638, MCCC 1H00183",1,"Confluentibacter citreus",urease,-
17910,KT71,"DSM 17192, CECT 7588, NBRC 104960",1,"Congregibacter litoralis",urease,+
158349,"7.4, HIM 794-7","DSM 105479, CCUG 24852",1,"Conservatibacter flavescens",urease,-
140951,ZD5-4,"JCM 30076, CGMCC 1.12813",1,"Conyzicola nivalis",urease,-
17651,04OKA010-24,"DSM 45221, IAM 15411, JCM 23193, KCTC 12865, MBIC 06463",1,"Coraliomargarita akajimensis",urease,+
140818,16B10-2-7,"CFCC 12884, KCTC 42249",1,"Corticibacterium populi",urease,-
133399,26D10-3-4,"CFCC 12725, KCTC 33575",1,"Corticicoccus populi",urease,-
3166,,"DSM 44278, ATCC 49725, CCUG 28779, CNCTC Th1/57, LMG 19042",1,"Corynebacterium accolens",urease,-
3198,"IMMIB R-3491","DSM 44531, JCM 11765, NRRL B-24151, CCUG 48298",1,"Corynebacterium appendicis",urease,+
3213,R2070,"DSM 44849, CCUG 45804, CIP 107431, JCM 12368",1,"Corynebacterium atypicum",urease,-
3199,"IMMIB D-1488","DSM 44532, CCUG 47449, CIP 107897, JCM 11766, NRRL B-24143",1,"Corynebacterium aurimucosum",urease,-
158444,,"DSM 105776, FRC 0043, CIP 111412",1,"Corynebacterium belfantii",urease,-
3203,,"DSM 44611, CCUG 39779, CIP 106739, S108/98/2, JCM 12101",1,"Corynebacterium capitovis",urease,-
131684,JZ16,"DSM 100882, CCUG 69192, LMG 29813",1,"Corynebacterium crudilactis",urease,+
3196,"IMMIB R-5091","DSM 44530, CIP 107989, NRRL B-24142, CCUG 48297, JCM 12208",1,"Corynebacterium glaucum",urease,-
3092,534,"DSM 20300, ATCC 13032, NCIB 10025, CCUG 27702, CCTM La 2336",1,"Corynebacterium glutamicum",urease,+
140638,S01,"KCTC 39608, CCTCC AB 2015423, GDMCC 1.1022, DSM 107476",1,"Corynebacterium guangdongense",urease,+
3209,,"CCUG 54529, DSM 44683, CCTCC AA 001024, CIP 108972, JCM 12676, YIM 70093",1,"Corynebacterium halotolerans",urease,+
3184,,"DSM 44385, CCUG 35717, CIP 105744, LMG 19050",1,"Corynebacterium kroppenstedtii",urease,-
23877,RW2-5,"DSM 45799, CCUG 63372, CIP 110786",1,"Corynebacterium lactis",urease,+
140633,"R-50085, TKD4","LMG 28276, CCUG 65815, DSM 107388, NML 130206",1,"Corynebacterium lowii",urease,+
3178,S-8,"DSM 44356, CCUG 38654, CECT 4843, CIP 105509, IFO (NBRC) 16160, JCM 12269",1,"Corynebacterium mastitidis",urease,+
140634,"R-50187, TVRM83/2006F4/44","CCUG 65816, LMG 28277, DSM 107387, NML 130210",1,"Corynebacterium oculi",urease,+
132609,VDS11,"DSM 100104, KCTC 39687, MCC 2722",1,"Corynebacterium pollutisoli",urease,-
3228,"IMMIB L-999","DSM 45148, CCUG 55795, CIP 109925, JCM 17321",1,"Corynebacterium sputi",urease,+
3208,Y-11,"DSM 44721, CIP 105927, IFO 14764, JCM 10555, NBRC 14764, VKM Ac-2071, CCUG 46354, CCUG 44585",1,"Corynebacterium terpenotabidum",urease,+
3206,"M935/96/4, ATCC BAA 467","DSM 44614, ATCC BAA 467, CCUG 41823, CIP 106763, M935/96/4, JCM 12108",1,"Corynebacterium testudinoris",urease,-
134186,,"KCCM 42265, JCM 13411, KOPRI 13342",1,"Costertonia aggregata",urease,+
141068,,"JCM 19657, KACC 17825, YIM 78023",1,"Crenalkalicoccus roseus",urease,+
133014,Ery22,"DSM 101481, CGMCC 1.15360",1,"Croceicoccus mobilis",urease,+
133013,Ery9,"DSM 101479, CGMCC 1.15358",1,"Croceicoccus pelagius",urease,-
140751,H01-35,"MCCC 1K03229, KCTC 52368",1,"Croceitalea marina",urease,+
140752,HSG9,"MCCC 1A06690, KCTC 52589",1,"Croceivirga radicis",urease,+
158651,Hh31,"NBRC 107882, CGMCC 1.11213",1,"Cryobacterium aureum",urease,-
3053,12-3,"DSM 15641, ATCC 700683, CCUG 55773",1,"Cryptobacterium curtum",urease,-
140950,EURKPP3H10,"BCC 77605, NBRC 111482",1,"Cryptosporangium eucalypti",urease,-
133795,MN08-A0264,"NBRC 105887, VTCC D9-27",1,"Cryptosporangium mongoliense",urease,+
140833,X1,"KCTC 42909, LMG 29218",1,"Cupriavidus nantongensis",urease,-
2040,TE26,"DSM 15562, CIP 108892, LMG 26411, CCUG 64483, NBRC 100056",1,"Wautersia numazuensis",urease,+
2053,1245,"DSM 19553, CIP 108725, PNCM 10346, CCUG 53907",1,"Cupriavidus pinatubonensis",urease,+
132605,,"DSM 29427, CCUG 66358, NTS 31307302",1,"Cutibacterium namnetense",urease,-
140321,"SYSU D3-2","DSM 101832, CGMCC 1.15758, KCTC 52386, NBRC 112441",1,"Cysteiniphilum litorale",urease,-
1904,K107,"DSM 21779, CCUG 54520, KCTC 12981",1,"Daeguia caeni",urease,-
140959,NP5,"KACC 18626, LMG 29198",1,"Daejeonia ginsenosidivorans",urease,-
133635,"Ben 114","CIP 107350, NCIMB 13612",1,"Defluviicoccus vanus",urease,+
133959,BS14,"KACC 16442, JCM 18630",1,"Defluviimonas aestuarii",urease,+
140990,DL5-4,"MCCC 1A06955, LMG 29616",1,"Defluviimonas nitratireducens",urease,-
158664,ID0501,"KACC 19286, NBRC 112889",1,"Deinococcus aluminii",urease,-
133034,FeSTC15-38,"DSM 101791, NCAIM B.02630",1,"Deinococcus budaensis",urease,+
3893,I-0,"DSM 21396, CGMCC 1.7299, JCM 16679",1,"Deinococcus gobiensis",urease,+
159760,17bor-2,"KCTC 33907, NBRC 113037",1,"Deinococcus irradiatisoli",urease,+
159872,SJW1-2,"KACC 19332, NBRC 112908",1,"Deinococcus koreensis",urease,-
158716,,"KCTC 52494, KACC 18979, NBRC 112440, IMCC 1711",1,"Deinococcus lacus",urease,-
3869,AA-63,"DSM 12784, CIP 109039, NRRL B-41042",1,"Deinococcus marmoris",urease,-
133032,"YIM F302","DSM 29933, CGMCC 1.15089",1,"Deinococcus saudiensis",urease,+
158571,X-121,"CCTCC AB 207228, KCTC 33842",1,"Deinococcus taklimakanensis",urease,+
3892,X-82,"DSM 25585, CCTCC AB 207226, NRRL B-51287",1,"Deinococcus xinjiangensis",urease,+
3886,,"DSM 17005, KCTC 3962, YIM 007",1,"Deinococcus yunweiensis",urease,+
140487,RA6,"LMG 29737, CECT 9171",1,"Delftia rhizosphaerae",urease,-
2952,T7,"DSM 17581, ATCC BAA 554, NBRC 16741",1,"Delftia tsuruhatensis",urease,+
133619,2622,"CCTCC AB 208152, KCTC 22436",1,"Desertibacter roseus",urease,+
158424,"SYSU D60003","DSM 104921, KCTC 39917, NBRC 112924",1,"Desertimonas flava",urease,+
16786,,"DSM 45169, CCUG 55916, IMMIB L-1269",1,"Desmospora activa",urease,+
4167,JS,"DSM 19430, JCM 14597, KCTC 5573",1,"Desulfovibrio psychrotolerans",urease,-
132457,TR1,"DSM 29984, JCM 30680",1,"Desulfurella amilsii",urease,-
133463,,"CCM 7427, MTCC 8594, IPL 15",1,"Devosia albogilva",urease,+
6170,,"DSM 24953, CCM 7426, MTCC 8593, IPL 18",1,"Devosia chinhatensis",urease,+
133163,,"HJR-2, KCTC 52211, NBRC 112271",1,"Devosia confluentis",urease,+
133462,,"CCM 7425, MTCC 8590, IPL 20",1,"Devosia crocina",urease,+
133408,S37,"TBRC 5145, LMG 29420",1,"Devosia elaeis",urease,-
6169,BD-c194,"DSM 19414, KCTC 22082",1,"Devosia geojensis",urease,+
6172,Cr4-44,"DSM 23846, CGMCC 1.10691, LMG 26051",1,"Devosia glacialis",urease,+
141130,THG-MM1,"KACC 18281, CCTCC AB 2015121",1,"Devosia humi",urease,-
6167,DS-56,"DSM 17955, KCTC 12821",1,"Devosia insulae",urease,+
6171,Yak96B,"DSM 21277, KCTC 22147, LMG 24299, NBRC 103855",1,"Devosia yakushimensis",urease,+
3919,,"DSM 22407, CCUG 55056, LMG 24257, IMP 2",1,"Devriesea agamarum",urease,+
2957,RF3,"DSM 22780, KCTC 22225, LMG 24467",1,"Diaphorobacter oryzae",urease,+
4260,,"DSM 45140, CCTCC AA 207016, JCM 16002, YIM 65002",1,"Dietzia cercidiphylli",urease,+
229,2991-95,"DSM 15742, ATCC BAA 56, CCM 4936, CIP 106314, CCUG 39307",1,"Dolosicoccus paucivorans",urease,-
140270,NYU-BL-A4,"DSM 103457, ATCC TSD-64",1,"Dubosiella newyorkensis",urease,-
141131,,"KCTC 42409, JCM 30745, DCY 83",1,"Massilia ginsengisoli",urease,-
3777,"CP 183-8","DSM 16708, ATCC BAA 1036, KCTC 23639",1,"Dyadobacter crusticola",urease,-
133376,4M-Z03,"NBRC 111980, KCTC 52131",1,"Dyella acidisoli",urease,+
,,,,,urease,-
141034,DHOB09,"CGMCC 1.15434, LMG 29202",1,"Dyella caseinilytica",urease,+
159761,DHOG02,"NBRC 111474, CGMCC 1.15435",1,"Dyella halodurans",urease,+
133215,,"DHG40, KCTC 42629, LMG 28842",1,"Dyella humi",urease,-
24670,SBZ3-12,"DSM 26119, CCTCC AB 2012160, KACC 16539",1,"Dyella jiangningensis",urease,+
17454,BB4,"CCUG 50883, DSM 17803, KCTC 12359, NBRC 100831",1,"Dyella koreensis",urease,+
140577,DHOB07,"NBRC 111473, KCTC 52132",1,"Dyella lipolytica",urease,-
